name,est_diameter_min,est_diameter_max,relative_velocity_mean,miss_distance_mean,miss_distance_min,absolute_magnitude_mean,hazardous,observations,est_diameter_range,est_diameter_mean,est_diameter_min_log1p,est_diameter_max_log1p,est_diameter_mean_log1p,est_diameter_range_log1p,relative_velocity_mean_log1p,miss_distance_mean_log1p,miss_distance_min_log1p,hazardous_enc
(1999 GL4),0.3051792326,0.6824015094,91376.8930056802,60143744.74669954,60143744.74669954,19.7,True,1,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,11.422758857351765,17.912248017367936,17.912248017367936,1
(1999 GR6),0.2658,0.5943468684,117693.96122532646,60718003.05343179,36208156.86000418,20.0,False,3,0.3285468683999999,0.4300734342,0.2357043333590679,0.4664641654776024,0.3577257955407295,0.2840857647824883,11.6758514820119,17.921750819191082,17.404795006656055,0
(1999 HW1),0.2597496533,0.580817882,45487.26641264205,54722924.07106932,54033396.753356926,20.05,False,2,0.3210682286999999,0.42028376765,0.2309130133651965,0.4579423599414133,0.3508566880217805,0.2784406734872579,10.725209690641174,17.817793285096037,17.805112890264542,0
(1999 JZ10),0.1160259081999999,0.2594418179,58934.13561845653,21488904.97405084,11469951.328155791,21.8,True,3,0.1434159097,0.1877338630499999,0.1097740789226247,0.2306686211424922,0.1720471748423169,0.1340201941291001,10.984192721811098,16.883047358716517,16.255241332876846,1
(1999 LE6),0.1925550782,0.4305662442,62774.18067251575,51730996.964638,39788243.84971472,20.7,False,2,0.238011166,0.3115606612,0.176098129883576,0.358070340859454,0.2712177725528912,0.2135061936078365,11.04731506211827,17.761567733590212,17.499082071093824,0
(1999 LJ1),0.096506147,0.2157943048,29771.089706033952,69638354.21054986,67265457.99637106,22.2,False,2,0.1192881578,0.1561502259,0.092128894879244,0.1953976119984341,0.145095715007692,0.1126929098517556,10.30132664657596,18.05882605412684,18.02415742358133,0
(1999 LV7),0.3471802221,0.776318577,60242.3162005061,27549364.58600608,27549364.58600608,19.42,False,1,0.4291383548999999,0.56174939955,0.2980136836529126,0.574543007424941,0.4458066029189215,0.357071713645221,11.006146910767788,17.13149006556688,17.13149006556688,0
(1999 LW1),0.2315021222,0.5176544822,87080.5615984445,55382345.84218962,15199515.896219067,20.3,False,4,0.28615236,0.3745783022,0.2082346618412825,0.4171660392314859,0.3181469947706598,0.2516550946919589,11.37460044810506,17.829771451880166,16.536774202167926,0
(1999 OQ3),0.2538370294,0.5675968529,40515.5744544499,35880639.72996896,35880639.72996896,20.1,False,1,0.3137598234999999,0.41071694115,0.226208473159057,0.4495437797501018,0.3440980440642779,0.2728931206311153,10.6094664151653,17.395708452575384,17.395708452575384,0
(1999 PS3),0.1214940408,0.2716689341,74042.7502070732,73088189.03509296,73088189.03509296,21.7,False,1,0.1501748933,0.1965814874499999,0.1146617613661487,0.2403301591073501,0.1794687308947329,0.1399140119424307,11.212411416499702,18.107177352640484,18.107177352640484,0
(1999 RA32),0.1529519353,0.3420109247,53420.1341148,67439655.87475196,67439655.87475196,21.2,False,1,0.1890589894,0.24748143,0.1423255537744711,0.2941691791273838,0.2211266627611994,0.173162229093623,10.885961716592096,18.02674378378538,18.02674378378538,0
(1999 RB32),0.2424124811,0.5420507863,35449.2369999792,17435564.309780203,17435564.309780203,20.2,False,1,0.2996383052,0.3922316337,0.2170550387613133,0.4331132099424907,0.3309079515888128,0.262085998986012,10.475885217409836,16.67402266141369,16.67402266141369,0
(1999 RM45),0.2968622513,0.6638041738,91024.87843009064,42644609.16613794,2930106.818879128,19.76,True,4,0.3669419225,0.48033321255,0.2599476940657166,0.5091066514592868,0.3922672060498684,0.3125760714698616,11.418899123423772,17.56841145032032,14.890549778568474,1
(1999 RN28),0.160160338,0.358129403,23942.4713039559,39529240.76392485,39529240.76392485,21.1,False,1,0.197969065,0.2591448705,0.1485582179802287,0.3061083139929291,0.2304328163534463,0.180627677156186,10.083450968765698,17.492551253806962,17.492551253806962,0
(1999 RO36),0.1925550782,0.4305662442,14046.7265670612,53690851.1559396,53690851.1559396,20.7,False,1,0.238011166,0.3115606612,0.176098129883576,0.358070340859454,0.2712177725528912,0.2135061936078365,9.550215851495633,17.798753194054125,17.798753194054125,0
(1999 SG10),0.2111324448,0.4721064987999999,78585.41104708062,29035319.61785811,19026999.510734253,20.5,True,6,0.2609740539999999,0.3416194717999999,0.1915558267162139,0.38669436741783,0.2938774452855798,0.2318844810375543,11.27195407602882,17.18402359918842,16.76136960786514,1
(1999 SJ10),0.2927891485,0.6546964391,85548.83452349795,47708833.72068459,37013146.28962731,19.79,False,2,0.3619072906,0.4737427937999999,0.2568020149530549,0.5036175715220484,0.3878052831543507,0.3088861368349259,11.356854345051934,17.68062715297864,17.42678373964507,0
(1999 SK10),0.2861244538,0.6397937287,42277.0983472821,32753938.276824445,17247554.20966009,19.84,False,3,0.3536692748999999,0.46295909125,0.2516333970271886,0.4945704587428186,0.3804611594119034,0.3028188868256254,10.65202446137762,17.304533796073898,16.663180964421198,0
(1999 TE5),0.2111324448,0.4721064988,31771.9278901622,44520339.36637128,44520339.36637128,20.5,False,1,0.2609740539999999,0.3416194718,0.1915558267162139,0.38669436741783,0.2938774452855798,0.2318844810375543,10.36636988197728,17.611456729588827,17.611456729588827,0
(1999 TT16),0.2954982931,0.6607542706,69016.31226574545,15839848.792130033,4599237.079837657,19.77,True,2,0.3652559775,0.47812628185,0.2588954034583722,0.5072718790486924,0.3907752599113153,0.3113419403595304,11.14211265451076,16.578039461485517,15.34140121292246,1
(1999 TW16),0.3330849243,0.744800533,105302.313899429,23302117.067520987,23302117.067520987,19.51,False,1,0.4117156087,0.53894272865,0.2874957483195178,0.5566402413843736,0.4310956408114816,0.3448057085161564,11.56460016865658,16.964054818589844,16.964054818589844,0
(1999 UQ),0.1160259082,0.2594418179,49164.99271733295,30590090.775687736,21465356.99274436,21.8,False,4,0.1434159096999999,0.18773386305,0.1097740789226247,0.2306686211424922,0.1720471748423169,0.1340201941291001,10.80295745855588,17.23618671630852,16.881950937477235,0
(1999 VR6),0.1838886721,0.411187571,76608.59019100583,17419142.537702862,8675888.572898071,20.8,False,3,0.2272988988999999,0.29753812155,0.1688045050984363,0.3444315988336452,0.2604687163970132,0.2048157374482676,11.24647754620803,16.673080362720892,15.976058422966169,0
(1999 VT),0.3051792326,0.6824015094,42493.5242319272,23091250.58203399,23091250.58203399,19.7,False,1,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,10.657130505010002,16.954964384367255,16.954964384367255,0
(1999 VX15),0.4926687055,1.1016407159,15963.6582257015,46246189.74949903,46246189.74949903,18.66,False,1,0.6089720103999998,0.7971547107,0.4005655954074759,0.7427183329643714,0.5862046979742433,0.4755954722094682,9.678132697196684,17.649489656357765,17.649489656357765,0
(1999 XK136),0.2053784995,0.459240286,71512.1453737566,8058340.337655221,8058340.337655221,20.56,True,1,0.2538617865,0.33230939275,0.1867936250900748,0.3779159482353371,0.2869138219854482,0.2262282180341942,11.177636563164716,15.902218303932472,15.902218303932472,1
(2000 AA6),0.1010543415,0.2259643771,67642.21225014782,46348227.00305235,6004848.089788248,22.1,True,7,0.1249100356,0.1635093593,0.0962682130166475,0.2037277808928589,0.1514407478189602,0.1177030641031884,11.12200229227737,17.651693618458967,15.60807788242078,1
(2000 AB6),0.096506147,0.2157943048,33529.854696792,10750660.055627668,10750660.055627668,22.2,False,1,0.1192881578,0.1561502259,0.092128894879244,0.1953976119984341,0.145095715007692,0.1126929098517556,10.420221329645148,16.190477804194057,16.190477804194057,0
(2000 AG205),0.3051792326,0.6824015094,46584.877278039305,51201663.81081377,47878016.0163182,19.7,False,2,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,10.749052711477937,17.751282605317314,17.684167022097107,0
(2000 BK19),0.1010543415,0.2259643771,39361.4757418817,15553704.142346384,15553704.142346384,22.1,False,1,0.1249100356,0.1635093593,0.0962682130166475,0.2037277808928589,0.1514407478189602,0.1177030641031884,10.580568249134252,16.55980944102676,16.55980944102676,0
(2000 BO28),0.3051792326,0.6824015094,75248.1913568653,39976908.03161524,10980791.889451347,19.7,True,3,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,11.228560436465214,17.503812571181683,16.211658203592524,1
(2000 CM33),0.1838886721,0.411187571,33153.7944428079,51288483.30616964,31238937.888511825,20.8,True,3,0.2272988988999999,0.29753812155,0.1688045050984363,0.3444315988336452,0.2604687163970132,0.2048157374482676,10.4089426138986,17.75297680747958,17.257175915922005,1
(2000 CN33),0.3240074354,0.7245026508,52681.2472682276,46914813.91391408,46914813.91391408,19.57,False,1,0.4004952154,0.5242550430999999,0.2806630733600747,0.5449386905347775,0.4215057943783042,0.3368258993608873,10.872033813797536,17.663844066561854,17.663844066561854,0
(2000 CP101),0.2783267681,0.6223575734,77680.9015314642,45114511.05448005,10290591.98719533,19.9,True,3,0.3440308052999999,0.45034217075,0.245552010362172,0.4838803835550447,0.3717995084212092,0.2956731624484037,11.260377581700928,17.624714527758325,16.146740733671244,1
(2000 CR101),0.233644185,0.5224442801,3958.59531973515,46165189.96782774,43953549.04514859,20.28,False,2,0.2888000951,0.3780442325499999,0.2099725411167393,0.4203171222967372,0.3206652711691902,0.2537116266701965,8.283897107040497,17.64773662981689,17.598643953467008,0
